quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
winter,2012,2012-A,NA,6-Mar-12,1,60,20,NA,NA,Y,Y,25,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,NA,30-May-12,3,60,20,NA,NA,Y,Y,25,Peromyscus,truei,22,10,12,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Maya, Alex, & Tony",16-May-15,1,40,280,NA,NA,Y,N,25,Peromyscus,californicus,55,10,45,NA,NA,M,NA,151,NA,27,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,18-May-15,3,60,280,NA,NA,Y,Y,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,Jessica & Allie (?),2-Aug-15,2,60,260,NA,NA,Y,Y,25,Peromyscus,californicus,55,10,45,NA,NA,F,NA,142,NA,25,18,NA,NA,NA,NA,Y,Y,NA,NA,NA,NA
summer,2015,2015-C,Allie & Kat,3-Aug-15,3,80,280,NA,NA,Y,Y,25,Peromyscus,californicus,NA,NA,NA,adult,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,Allie & Natalie,8-Nov-15,2,60,260,NA,NA,Y,Y,25,Peromyscus,californicus,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y; EAR PUNCH FOR JUSTINE
fall,2015,2015-D,"JAS, & N.N",10-Nov-15,3,60,280,NA,NA,Y,Y,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2010,2010-B,"Kiri, Yasaman, Kathy",1-May-10,3,160,40,NA,NA,Y,Y,26,Peromyscus,truei,26,NA,NA,NA,NA,NA,NA,111,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,29-May-12,2,80,80,NA,NA,Y,Y,26,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Jordan, Paulina, & Annette",17-May-15,2,20,100,NA,NA,Y,Y,26,Peromyscus,truei,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,18-May-15,3,20,100,NA,NA,Y,Y,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,29-May-12,2,160,280,NA,NA,Y,Y,27,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,29-May-12,2,180,100,NA,NA,Y,N,28,Peromyscus,californicus,45,NA,NA,NA,NA,M,NA,140,NA,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica R. & Justine,10-Nov-12,1,180,100,NA,NA,Y,Y,28,Peromyscus,californicus,48,NA,NA,NA,NA,M,NA,130,NA,27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
