quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments,dead,no_tag,no_tag_reason,tag_no,tag_no_new,tag_prefix,tag_id_new,date_dist,trap_dist,FE_startdate,FE_datediff,date_dist_no,tag_prefix_new,FEtag_change,new_tag,n,tag_group,tag_no_prefix,tag_id_change
spring,2010,2010-B,"Kiri, Yasaman, Kathy",2010-05-01,3,160,40,NA,NA,y,y,26,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,111,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0026,26,NA,0026,367,134.16407864998737,2018-11-17,-3122,367,NA,NA,n,NA,3,0,n
spring,2015,2015-B,"Jordan, Paulina, & Annette",2015-05-17,2,20,100,NA,NA,y,y,26,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0026,26,NA,0026,1842,152.31546211727817,2018-11-17,-1280,1083,NA,NA,y,2,2,0,n
spring,2015,2015-B,Jordan & Alex,2015-05-18,3,20,100,NA,NA,y,y,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0026,26,NA,0026,1,0,2018-11-17,-1279,1,NA,NA,n,NA,2,0,n
spring,2012,2012-B,Chris & Quin,2012-05-29,2,160,280,NA,NA,y,y,27,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0027,27,NA,0027,NA,NA,2018-11-17,-2363,NA,NA,NA,y,1,1,0,n
spring,2012,2012-B,Chris & Quin,2012-05-29,2,180,100,NA,NA,y,n,28,Peromyscus,californicus,NA,NA,NA,NA,NA,M,NA,140,NA,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0028,28,NA,0028,NA,NA,2018-11-17,-2363,NA,NA,NA,n,NA,1,0,n
fall,2012,2012-D,Jessica R. & Justine,2012-11-10,1,180,100,NA,NA,y,y,28,Peromyscus,californicus,NA,NA,NA,NA,NA,M,NA,130,NA,27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0028,28,NA,0028,165,0,2018-11-17,-2198,165,NA,NA,y,1,1,0,n
fall,2012,2012-D,Jessica & Matt,2012-11-12,3,180,120,NA,NA,y,y,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0028,28,NA,0028,2,20,2018-11-17,-2196,2,NA,NA,n,NA,1,0,n
winter,2013,2013-A,NA,2013-02-09,1,180,120,NA,NA,y,y,28,Peromyscus,californicus,NA,NA,46,adult,NA,M,NA,147,NA,25,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0028,28,NA,0028,89,0,2018-11-17,-2107,89,NA,NA,n,NA,1,0,n
winter,2013,2013-A,NA,2013-02-10,2,180,120,NA,NA,y,y,28,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0028,28,NA,0028,1,0,2018-11-17,-2106,1,NA,NA,n,NA,1,0,n
winter,2013,2013-A,NA,2013-02-11,3,180,120,NA,NA,y,y,28,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0028,28,NA,0028,1,0,2018-11-17,-2105,1,NA,NA,n,NA,1,0,n
spring,2012,2012-B,Chris & Quin,2012-05-28,1,160,280,NA,NA,y,n,29,Peromyscus,californicus,NA,NA,NA,NA,NA,M,NA,120,NA,26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0029,29,NA,0029,NA,NA,2018-11-17,-2364,NA,NA,NA,n,NA,1,0,n
summer,2012,2012-C,Chris Lay & Alex Jones,2012-09-07,2,160,280,NA,NA,y,y,29,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0029,29,NA,0029,102,0,2018-11-17,-2262,102,NA,NA,n,NA,1,0,n
winter,2013,2013-A,NA,2013-02-09,1,180,280,NA,NA,y,y,29,Peromyscus,californicus,NA,NA,47,adult,NA,M,NA,145,NA,27,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0029,29,NA,0029,155,20,2018-11-17,-2107,155,NA,NA,n,NA,1,0,n
