quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id_old,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
winter,2013,2013-A,NA,2/10/13,2,180,120,NA,NA,Y,Y,28,28,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/11/13,3,180,120,NA,NA,Y,Y,28,28,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/28/12,1,160,280,NA,NA,Y,N,29,29,Peromyscus,californicus,47,NA,NA,NA,NA,M,NA,120,NA,26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Chris Lay & Alex Jones,9/7/12,2,160,280,NA,NA,Y,Y,29,29,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/9/13,1,180,280,NA,NA,Y,Y,29,29,Peromyscus,californicus,47,NA,47,adult,NA,M,NA,145,NA,27,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/10/13,2,160,280,NA,NA,Y,Y,29,29,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/11/13,3,180,280,NA,NA,Y,Y,29,29,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/28/12,1,180,80,NA,NA,Y,N,30,30,Peromyscus,californicus,50,NA,NA,NA,NA,F,NA,130,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,5/30/12,3,160,80,NA,NA,Y,Y,30,30,Peromyscus,californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,J. Smith,9/7/12,2,180,100,NA,NA,Y,Y,30,30,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,11/12/12,3,160,80,NA,NA,Y,Y,30,30,Peromyscus,californicus,70,10,60,NA,NA,M,NA,130,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/9/13,1,180,80,NA,NA,Y,Y,30,30,Peromyscus,californicus,47,NA,47,adult,NA,NA,NA,137,NA,28,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEX UNCERTAIN
winter,2013,2013-A,NA,2/10/13,2,180,80,NA,NA,Y,Y,30,30,NA,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2/11/13,3,180,80,NA,NA,Y,Y,30,30,Peromyscus,californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,M.H & Y.W,5/18/13,1,140,100,NA,NA,Y,Y,30,30,Peromyscus,californicus,63,13,50,NA,NA,M,NA,124,NA,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,Jess & Maya,5/19/13,2,180,100,NA,NA,Y,Y,30,30,Peromyscus,californicus,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,"JAS, & N.N",11/10/15,3,40,180,NA,NA,Y,N,31,31,Peromyscus,truei,37,10,27,adult,lactating,F,NA,97,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,"Y Wang, & B Lehman",2/4/11,1,120,100,NA,NA,Y,N,32,32,Peromyscus,truei,35,9,26,NA,NA,F,NA,93,NA,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,5/5/11,2,140,60,NA,NA,Y,Y,32,32,Peromyscus,truei,37,9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,5/28/12,1,60,220,NA,NA,Y,Y,32,32,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,90,NA,20,17,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; TAG RIPPED OUT
spring,2012,2012-B,NA,5/30/12,3,80,260,NA,NA,Y,Y,32,32,Peromyscus,truei,30,10,20,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Justine Smith & Rachel Brown,9/7/12,2,60,280,NA,NA,Y,Y,32,32,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",9/8/12,3,80,260,NA,NA,Y,Y,32,32,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Vaughon & Rachel,11/11/12,2,80,280,NA,NA,Y,Y,32,32,Peromyscus,truei,42,10,32,NA,NA,M,NA,101,NA,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; BI-COLORED TAIL
fall,2010,2010-D,Kathlyn Franco,11/4/10,1,120,200,NA,NA,Y,N,33,33,Peromyscus,californicus,NA,NA,NA,NA,lactating,F,NA,130,NA,26,15,NA,NA,NA,NA,Y,NA,NA,NA,NA,Weight greater than scale (>50g) so put weight at 55g
