quarter,year,ID,Collectors,Date,Day_no,x,y,Animal (Y/N),Recap (Y/N),Bait_stolen (Y/N),Tripped_trap (Y/N),Tag #,Genus,Species,Total_weight (g),Bag_weight (g),Animal_weight (g),Life_stage:,Reproductive:,Sex:,body,Tail: (mm),Tuft: (mm),Foot_length (mm),Ear_length (mm),Ticks_total,ticks_yn,ticks_adult,ticks_nymph,ticks_larvae,Hair,fecal,torn_ear,escaped,tissue,Comments,MARK,Deanna comments,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,120,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,140,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,220,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,260,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,140,280,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,20,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,80,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,100,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,220,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Lauren,4-Nov-10,1,160,280,N,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,PEANUT BUTTER,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,PEANUT BUTTER,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,100,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,PEANUT BUTTER,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,140,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,220,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,240,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham & Yiwei,4-Nov-10,1,180,280,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Graham,5-Nov-10,2,160,80,Y,N,,,46,PE,TR,38,8,30,,,M,,98,,23,17,,,,,,Y,,,,,,,,,
fall,2010,2010-D,Graham,5-Nov-10,2,180,40,Y,N,,,35,PE,TR,31,9,22,,,M,,105,,24,17,,,,,,Y,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,60,40,Y,N,,,950,PE,TR,26,,,,,F,,125,,22,19,,,,,,Y,,,,,,,,,
fall,2010,2010-D,Graham,5-Nov-10,2,160,100,Y,Y,,,266,PE,TR,44,14.5,29.5,,,F,,82,,23,20,,,,,,,,,,,Y,,RECAP NOT FROM THIS EXPERIMENT (266); TAIL A LITTLE STUMPY; WEIGHED W/ EAR TAG,,
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,80,220,Y,N,,,6,PE,TR,36,,,,,F,,103,,22,20,,,,,,Y,,,,,,,,,
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,100,20,Y,N,,,99,PE,TR,29,9,20,,,M,,105,,24,20,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,60,260,Y,N,,,95,,,21,,,,,F,,112,,22,20,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,80,Y,N,,,975,PE,TR,41,,,,,M,,137,,,20,,,,,,Y,,,,,Y,,TAIL IS FUNN,,
fall,2010,2010-D,Graham,5-Nov-10,2,180,160,Y,Y,,,243,PE,CA,55,,,,,M,,145,,27,20,,,,,,,,,,,Weight greater than scale (>50g) so put weight at 55g,,RECAP NOT FROM THIS EXPERIMENT (243),,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,60,100,Y,N,,,974,PE,TR,24,,,,,M,,110,,25,22,,,,,,,,,,,,,,,
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,120,260,Y,N,,,88,PE,TR,35,9,26,,,F,,115,,26,23,,,,,,Y,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,60,140,Y,N,,,973,PE,TR,31,,,,,F,,110,,24,24,,,,,,,,,,,,,,,
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,80,100,Y,,,,,SO,TR,,,,,,,,50,,12,,,,,,,,,,,,Y,,ALIVE,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,120,Y,N,,,72,PE,TR,27,,,,,M,,105,,24,,,,,,,,,,,,,,,,
fall,2010,2010-D,Grham Reelwan,5-Nov-10,2,40,140,Y,Y,,,98,,,26,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Grham Reelwan,5-Nov-10,2,40,160,Y,Y,,,39,PE,TR,30,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,100,240,Y,,,,92,PE,TR,33,9,24,,,M,,,,,,,,,,,,,Y,,,Y,,POTENTIAL RECAP - TORN RIGHT EAR; NEW TAG,,
fall,2010,2010-D,Grham Reelwan,5-Nov-10,2,40,280,Y,Y,,,77,PE,CA,38,,,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,120,280,Y,Y,,,386,PE,TR,38,9,29,,,M,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Grham Reelwan,5-Nov-10,2,40,120,Y,Y,,,387,,,52,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,Y. Wang & B Lehman,5-Nov-10,2,120,60,Y,Y,,,93,PE,CA,52,,,,,F,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,20,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,40,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,60,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,100,Y,Y,,,336,PE,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,140,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,160,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,180,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,200,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,220,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,240,Y,Y,,,89,PE,TR,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,260,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fall,2010,2010-D,"Grham Reelwan, T. &, Nick Scmidt",5-Nov-10,2,20,280,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
