quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
fall,2014,2014-D,Chatherine & Christian,11/16/14,3,180,260,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; SHREW!
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,60,100,NA,NA,y,y,99,Peromyscus,truei,32,NA,NA,NA,NA,F,NA,96,NA,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; ^; PICTURE 8403
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,120,NA,NA,y,y,325,Peromyscus,californicus,43,NA,NA,NA,NA,M,NA,138,NA,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,60,NA,NA,y,n,376,Peromyscus,truei,23,NA,NA,NA,NA,F,NA,104,NA,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,160,120,NA,NA,y,y,377,Peromyscus,californicus,44,NA,NA,NA,NA,M,NA,122,NA,26,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,120,100,NA,NA,y,n,381,Peromyscus,californicus,41,9,32,juvenile,NA,M,NA,121,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,120,260,NA,NA,y,n,382,Peromyscus,californicus,44,9,35,NA,NA,F,NA,126,NA,24,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,120,20,NA,NA,y,n,383,Peromyscus,truei,33,11,22,NA,NA,F,NA,92,NA,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,100,260,NA,NA,y,NA,398,Peromyscus,NA,30,9,21,NA,NA,F,NA,90,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,260,NA,NA,y,n,408,Peromyscus,californicus,39,NA,NA,NA,NA,M,NA,130,NA,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,140,80,NA,NA,y,n,411,Peromyscus,truei,21,NA,NA,juvenile,NA,F,NA,75,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,120,80,NA,NA,y,y,412,Peromyscus,truei,30,9,21,NA,NA,M,NA,100,NA,19,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,40,NA,NA,y,n,419,Peromyscus,truei,18,NA,NA,NA,NA,M,NA,87,NA,23,15,1,Y,NA,NA,NA,NA,NA,NA,NA,Y; TICKS (1 ON BLADE OF GRASS; ONE ON NOSE)
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,160,NA,NA,y,y,428,Peromyscus,californicus,40,NA,NA,NA,NA,M,NA,128,NA,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; POSSIBLY 178
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,120,60,NA,NA,y,y,450,Peromyscus,californicus,55,9,46,NA,NA,F,NA,142,NA,23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; MALE?
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,40,NA,NA,y,y,457,Peromyscus,californicus,45,NA,NA,NA,NA,M,NA,144,NA,24,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,140,160,NA,NA,y,n,466,Peromyscus,truei,21,NA,NA,NA,NA,F,NA,100,NA,21,17,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,160,280,NA,NA,y,y,493,Peromyscus,truei,26,NA,NA,NA,NA,M,NA,67,NA,28,21,5,Y,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,20,NA,NA,y,n,514,Peromyscus,truei,40,NA,NA,NA,NA,M,NA,145,NA,26,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; PHOTO 8682; *BAG 6G
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,80,260,NA,NA,y,n,532,Peromyscus,truei,34.9,NA,25,NA,NA,F,NA,196,NA,23,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,80,280,NA,NA,y,n,540,Peromyscus,californicus,44.9,NA,35,NA,NA,F,NA,123,NA,27,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,220,NA,NA,y,n,553,Peromyscus,truei,23,NA,NA,NA,NA,F,NA,94,NA,22,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,80,180,NA,NA,y,NA,555,Peromyscus,truei,23,NA,NA,NA,NA,F,NA,95,NA,25,15,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,40,100,NA,NA,y,n,561,Peromyscus,truei,25,NA,NA,NA,NA,M,NA,105,NA,21,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; PHOTO 8699; *
winter,2015,2015-A,"Maycee, & Savannah",2/14/15,1,20,180,NA,NA,y,n,565,Peromyscus,truei,21,NA,NA,NA,NA,M,NA,109,NA,23,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,*
winter,2015,2015-A,"Tina Cheng, & Bilal",2/14/15,1,120,200,NA,NA,y,y,567,Peromyscus,truei,33,9,24,NA,NA,M,NA,105,NA,22,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,140,60,NA,NA,y,n,579,Peromyscus,californicus,41,NA,NA,NA,NA,M,NA,135,NA,22,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,220,NA,NA,y,n,581,Peromyscus,truei,19,NA,NA,NA,NA,M,NA,85,NA,23,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,120,NA,NA,y,y,582,Peromyscus,californicus,41,NA,NA,NA,NA,F,NA,135,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Y; TAG RIPPED OUT, RETAGGED"
winter,2015,2015-A,Kelsey & Justin,2/14/15,1,180,240,NA,NA,y,n,583,Peromyscus,truei,24,NA,NA,NA,NA,F,NA,113,NA,24,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
