quarter,year,ID,date,day_no,tag_error_flag,tag_id,tag_id_new,date_dist,trap_dist,x,y,animal,recap,genus,species,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,comments
fall,2017,2017-D,2017-11-20,3,NA,30,0030,NA,NA,20,20,Y,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,2015-11-10,3,NA,31,0031,NA,NA,40,180,Y,N,Peromyscus,truei,37,10,27,adult,lactating,F,NA,97,NA,22,20,NA
winter,2011,2011-A,2011-02-04,3,NA,32,0032,NA,NA,120,100,Y,N,Peromyscus,truei,35,9,26,NA,NA,F,NA,93,NA,21,22,NA
spring,2011,2011-B,2011-05-05,2,NA,32,0032,90,44.721359549995796,140,60,Y,Y,Peromyscus,truei,37,9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,2012-05-28,1,trap distance large,32,0032,389,178.88543819998318,60,220,Y,Y,Peromyscus,truei,30,NA,NA,NA,NA,M,NA,90,NA,20,17,Y; TAG RIPPED OUT
spring,2012,2012-B,2012-05-30,3,NA,32,0032,2,44.721359549995796,80,260,Y,Y,Peromyscus,truei,30,10,20,NA,NA,M,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-07,2,NA,32,0032,100,28.284271247461902,60,280,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,2012-09-08,3,NA,32,0032,1,28.284271247461902,80,260,Y,Y,Peromyscus,truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,2012-11-11,2,NA,32,0032,64,20,80,280,Y,Y,Peromyscus,truei,42,10,32,NA,NA,M,NA,101,NA,24,21,Y; BI-COLORED TAIL
fall,2010,2010-D,2010-11-04,1,NA,33,0033,NA,NA,120,200,Y,N,Peromyscus,californicus,NA,NA,NA,NA,lactating,F,NA,130,NA,26,15,Weight greater than scale (>50g) so put weight at 55g
fall,2010,2010-D,2010-11-05,2,NA,33,0033,1,44.721359549995796,140,160,Y,Y,NA,NA,NA,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,2011-02-03,2,NA,33,0033,90,40,180,160,Y,Y,Peromyscus,truei,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
