quarter,year,ID,collectors,date,day_no,x,y,trap_malfunction,trap_malfunction_reason,animal,recap,tag_id,genus,species,species_together,total_weight,bag_weight,animal_weight,life_stage,reproduction,sex,body_length,tail_length,tuft_length,foot_length,ear_length,ticks_total,ticks_yn,ticks_adult,ticks_larvae,hair,fecal,torn_ear,escaped,tissue,comments
spring,2009,2009-B,NA,2009-05-01,3,40,140,NA,NA,Y,Y,1023,Peromyscus,californicus,NA,NA,NA,50,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,2009-07-29,1,20,140,NA,NA,Y,Y,1023,Peromyscus,californicus,NA,NA,NA,49,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,2009-07-30,2,40,120,NA,NA,Y,Y,1023,Peromyscus,californicus,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
summer,2009,2009-C,NA,2009-07-31,3,40,140,NA,NA,Y,Y,1023,Peromyscus,californicus,NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-28,1,60,20,NA,NA,Y,Y,1023,Peromyscus,truei,Peromyscus truei,30,NA,NA,NA,NA,M,NA,70,NA,20,15,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; TAG RIPPED OUT
spring,2012,2012-B,Chris & Quin,2012-05-29,2,60,20,NA,NA,Y,Y,1023,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"J. Smith, C. Newcomb, B. Blessing, J. Scolaso",2012-09-06,1,80,20,NA,NA,Y,Y,1023,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,"Rachel, Meredith, Soren",2012-09-08,3,40,20,NA,NA,Y,Y,1023,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Tony K & Tina C,2015-05-18,3,120,20,NA,NA,Y,N,0023,Peromyscus,truei,Peromyscus truei,28,NA,NA,NA,NA,F,NA,104,NA,22,20,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; OLD TAG RIPPED OTHER EAR
NA,2015,2015-B,Maya & Alex,2015-07-17,2,80,20,NA,NA,Y,N,0023,Peromyscus,truei,Peromyscus truei,NA,NA,22,NA,NA,F,NA,110,NA,22,14,NA,NA,NA,NA,NA,NA,Y,NA,NA,Y; *(WEIGHT ON DATA SHEET) NOT INCLUDING BAG WEIGHT)
winter,2012,2012-A,NA,2012-03-05,1,100,20,NA,NA,Y,N,0024,Peromyscus,boylii,Peromyscus boylii,30,NA,30,adult,NA,M,NA,95,NA,25,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
winter,2012,2012-A,NA,2012-03-06,1,100,20,NA,NA,Y,Y,0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,Chris,2012-03-07,2,100,20,NA,NA,Y,Y,0024,Peromyscus,truei,Peromyscus truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-08,3,100,20,NA,NA,Y,Y,0024,Peromyscus,truei,Peromyscus truei,22,NA,NA,NA,NA,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2014,2014-D,Chatherine & Christian,2014-11-16,3,160,100,NA,NA,Y,Y,0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2011,2011-D,NA,2011-11-09,3,120,20,NA,NA,Y,N,1025,NA,NA,NA,25,NA,NA,NA,NA,F,NA,80,NA,21,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y; TOOK FROM 140-20; SET NEW TRAP (WASN'T ON THERE); JUVEILE?
winter,2012,2012-A,NA,2012-03-06,1,60,20,NA,NA,Y,Y,1025,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,"Chris, Quin, Tyler",2012-05-28,1,40,20,NA,NA,Y,Y,1025,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,NA,2012-05-30,3,60,20,NA,NA,Y,Y,1025,Peromyscus,truei,Peromyscus truei,22,10,12,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Maya, Alex, & Tony",2015-05-16,1,40,280,NA,NA,Y,N,0025,Peromyscus,californicus,Peromyscus californicus,55,10,45,NA,NA,M,NA,151,NA,27,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,2015-05-18,3,60,280,NA,NA,Y,Y,0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2015,2015-C,Jessica & Allie (?),2015-08-02,2,60,260,NA,NA,Y,Y,0025,Peromyscus,californicus,Peromyscus californicus,55,10,45,NA,NA,F,NA,142,NA,25,18,NA,NA,NA,NA,Y,Y,NA,NA,NA,NA
summer,2015,2015-C,Allie & Kat,2015-08-03,3,80,280,NA,NA,Y,Y,0025,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,adult,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,"Vanessa, Jessica, Savannah",2015-11-07,1,60,260,NA,NA,Y,Y,0025,Peromyscus,NA,Peromyscus,57,9,48,adult,NA,F,84,147,NA,28,17,0,N,0,0,NA,NA,NA,NA,NA,Y; NIPPLES? ADULT?
fall,2015,2015-D,Allie & Natalie,2015-11-08,2,60,260,NA,NA,Y,Y,0025,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,Y; EAR PUNCH FOR JUSTINE
fall,2015,2015-D,"JAS, & N.N",2015-11-10,3,60,280,NA,NA,Y,Y,0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2009,2009-B,NA,2009-04-29,1,100,160,NA,NA,Y,N,1026,Peromyscus,boylii,NA,NA,NA,26,adult,NA,F,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,recapture from March
spring,2010,2010-B,"Kiri, Yasaman, Kathy",2010-05-01,3,160,40,NA,NA,Y,Y,1026,Peromyscus,truei,Peromyscus truei,26,NA,NA,NA,NA,NA,NA,111,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2012,2012-A,NA,2012-03-05,1,140,120,NA,NA,Y,N,0026,Peromyscus,californicus,Peromyscus californicus,50,NA,50,adult,NA,M,NA,140,NA,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,MISSING DATA SHEET
spring,2012,2012-B,Chris & Quin,2012-05-29,2,80,80,NA,NA,Y,Y,0026,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,"Jordan, Paulina, & Annette",2015-05-17,2,20,100,NA,NA,Y,Y,0026,Peromyscus,truei,Peromyscus truei,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2015,2015-B,Jordan & Alex,2015-05-18,3,20,100,NA,NA,Y,Y,0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-29,2,160,280,NA,NA,Y,Y,0027,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-29,2,180,100,NA,NA,Y,N,0028,Peromyscus,californicus,Peromyscus californicus,45,NA,NA,NA,NA,M,NA,140,NA,29,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica R. & Justine,2012-11-10,1,180,100,NA,NA,Y,Y,0028,Peromyscus,californicus,Peromyscus californicus,48,NA,NA,NA,NA,M,NA,130,NA,27,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,2012-11-12,3,180,120,NA,NA,Y,Y,0028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-09,1,180,120,NA,NA,Y,Y,0028,Peromyscus,californicus,Peromyscus californicus,46,NA,46,adult,NA,M,NA,147,NA,25,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-10,2,180,120,NA,NA,Y,Y,0028,NA,NA,NA NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-11,3,180,120,NA,NA,Y,Y,0028,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-28,1,160,280,NA,NA,Y,N,0029,Peromyscus,californicus,Peromyscus californicus,47,NA,NA,NA,NA,M,NA,120,NA,26,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,Chris Lay & Alex Jones,2012-09-07,2,160,280,NA,NA,Y,Y,0029,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-09,1,180,280,NA,NA,Y,Y,0029,Peromyscus,californicus,Peromyscus californicus,47,NA,47,adult,NA,M,NA,145,NA,27,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-10,2,160,280,NA,NA,Y,Y,0029,NA,NA,NA NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-11,3,180,280,NA,NA,Y,Y,0029,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Quin,2012-05-28,1,180,80,NA,NA,Y,N,0030,Peromyscus,californicus,Peromyscus californicus,50,NA,NA,NA,NA,F,NA,130,NA,26,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2012,2012-B,Chris & Sam,2012-05-30,3,160,80,NA,NA,Y,Y,0030,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
summer,2012,2012-C,J. Smith,2012-09-07,2,180,100,NA,NA,Y,Y,0030,Peromyscus,truei,Peromyscus truei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2012,2012-D,Jessica & Matt,2012-11-12,3,160,80,NA,NA,Y,Y,0030,Peromyscus,californicus,Peromyscus californicus,70,10,60,NA,NA,M,NA,130,NA,25,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-09,1,180,80,NA,NA,Y,Y,0030,Peromyscus,californicus,Peromyscus californicus,47,NA,47,adult,NA,NA,NA,137,NA,28,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEX UNCERTAIN
winter,2013,2013-A,NA,2013-02-10,2,180,80,NA,NA,Y,Y,0030,NA,NA,NA NA,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2013,2013-A,NA,2013-02-11,3,180,80,NA,NA,Y,Y,0030,Peromyscus,californicus,Peromyscus californicus,NA,NA,NA,adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,M.H & Y.W,2013-05-18,1,140,100,NA,NA,Y,Y,0030,Peromyscus,californicus,Peromyscus californicus,63,13,50,NA,NA,M,NA,124,NA,27,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2013,2013-B,Jess & Maya,2013-05-19,2,180,100,NA,NA,Y,Y,0030,Peromyscus,californicus,Peromyscus californicus,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fall,2015,2015-D,"JAS, & N.N",2015-11-10,3,40,180,NA,NA,Y,N,0031,Peromyscus,truei,Peromyscus truei,37,10,27,adult,lactating,F,NA,97,NA,22,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
winter,2011,2011-A,"Y Wang, & B Lehman",2011-02-04,1,120,100,NA,NA,Y,N,0032,Peromyscus,truei,Peromyscus truei,35,9,26,NA,NA,F,NA,93,NA,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
spring,2011,2011-B,Leiyhton,2011-05-05,2,140,60,NA,NA,Y,Y,0032,Peromyscus,truei,Peromyscus truei,37,9,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
