tag,stemtag,SOD2017,Status2017,Date,notes
1803,1,,,,missing data
1765,1,,,,missing data
8712,1,,,,missing data
1804,1,,,,missing data
1801,1,,,,missing data
1845,1,,,,missing data
1851,1,,,,missing data
8714,1,,,,missing data
8715,1,,,,missing data
197,1,1,A,1/27/17,
170,1,1,A,1/29/17,
196,1,5,DS,1/27/17,
168,1,0,A,1/29/17,
144,1,1,A,1/28/17,
184,1,-99,DC-T-Q,1/29/17,
138,1,-99,DC-T-Q,1/29/17,
136,1,5,DS-R,1/29/17,
8723,1,-99,DC-T-Q-R,1/29/17,
199,1,1,A,1/29/17,
8721,1,2,A-R,1/29/17,
151,1,5,DS,1/29/17,
153,1,0,A,1/28/17,
